Crop,State,Category,Moisture_Content_Percent,Optimal_Storage_Temp_Min_C,Optimal_Storage_Temp_Max_C,Optimal_Relative_Humidity_Min,Optimal_Relative_Humidity_Max,Room_Temp_Shelf_Life_Days,Cold_Storage_Shelf_Life_Days,Heat_Sensitivity_Level,Chilling_Sensitivity,Typical_Post_Harvest_Loss_Percent,Perishability_Level,Recommended_Storage_Type,Respiration_Rate_Level,Ethylene_Sensitivity
Mango,Rajasthan,Fruit,83,12,14,85,90,6,20,High,Yes,32,High,Cold Storage,High,High
Carrot,Madhya Pradesh,Root,88,0,2,90,95,10,122,Medium,No,17,Medium,Cold Storage,Medium,Low
Chili (Green),Andhra Pradesh,Vegetable,88,7,10,85,90,7,17,High,Yes,24,High,Cold Storage,High,Medium
Mango,Karnataka,Fruit,83,12,14,85,90,7,25,High,Yes,30,High,Cold Storage,High,High
Onion,Uttar Pradesh,Bulb,89,0,5,65,75,59,147,Low,No,7,Low,Dry Ventilated Storage,Low,Low
Banana,Rajasthan,Fruit,74,13,15,85,95,6,25,High,Yes,36,High,Cold Storage,Very High,High
Cabbage,Tamil Nadu,Vegetable,92,0,5,90,95,9,56,Medium,No,17,Medium,Cold Storage,Medium,Medium
Onion,Karnataka,Bulb,89,0,5,65,75,59,154,Low,No,13,Low,Dry Ventilated Storage,Low,Low
Cauliflower,Karnataka,Vegetable,92,0,2,90,95,7,24,Medium,No,18,Medium,Cold Storage,Medium,Medium
Brinjal,Rajasthan,Vegetable,92,8,12,90,95,4,14,High,Yes,23,High,Cold Storage,High,High
Apple,Rajasthan,Fruit,84,0,4,90,95,30,183,Low,No,5,Low,Controlled Atmosphere Storage,Low,Medium
Grapes,Karnataka,Fruit,81,0,1,90,95,7,65,Medium,No,18,Medium,Cold Storage,Medium,Medium
Apple,Tamil Nadu,Fruit,84,0,4,90,95,32,184,Low,No,10,Low,Controlled Atmosphere Storage,Low,Medium
Grapes,Madhya Pradesh,Fruit,81,0,1,90,95,7,59,Medium,No,17,Medium,Cold Storage,Medium,Medium
Carrot,Maharashtra,Root,88,0,2,90,95,12,119,Medium,No,12,Medium,Cold Storage,Medium,Low
Cabbage,Gujarat,Vegetable,92,0,5,90,95,6,59,Medium,No,15,Medium,Cold Storage,Medium,Medium
Mango,Punjab,Fruit,83,12,14,85,90,8,24,High,Yes,30,High,Cold Storage,High,High
Cabbage,Bihar,Vegetable,92,0,5,90,95,7,56,Medium,No,15,Medium,Cold Storage,Medium,Medium
Banana,Uttar Pradesh,Fruit,74,13,15,85,95,3,24,High,Yes,35,High,Cold Storage,Very High,High
Chili (Green),Maharashtra,Vegetable,88,7,10,85,90,4,18,High,Yes,23,High,Cold Storage,High,Medium
Mango,Maharashtra,Fruit,83,12,14,85,90,9,23,High,Yes,28,High,Cold Storage,High,High
Chili (Green),Madhya Pradesh,Vegetable,88,7,10,85,90,7,22,High,Yes,26,High,Cold Storage,High,Medium
Potato,Uttar Pradesh,Tuber,79,4,10,90,95,29,95,Medium,No,10,Medium,Cool Dark Storage,Medium,Low
Carrot,Punjab,Root,88,0,2,90,95,10,122,Medium,No,13,Medium,Cold Storage,Medium,Low
Mango,Karnataka,Fruit,83,12,14,85,90,7,24,High,Yes,29,High,Cold Storage,High,High
Banana,Punjab,Fruit,74,13,15,85,95,4,23,High,Yes,38,High,Cold Storage,Very High,High
Onion,Maharashtra,Bulb,89,0,5,65,75,62,152,Low,No,13,Low,Dry Ventilated Storage,Low,Low
Chili (Green),Madhya Pradesh,Vegetable,88,7,10,85,90,4,19,High,Yes,24,High,Cold Storage,High,Medium
Brinjal,Gujarat,Vegetable,92,8,12,90,95,2,11,High,Yes,20,High,Cold Storage,High,High
Onion,Tamil Nadu,Bulb,89,0,5,65,75,61,145,Low,No,11,Low,Dry Ventilated Storage,Low,Low
Mango,Gujarat,Fruit,83,12,14,85,90,7,24,High,Yes,29,High,Cold Storage,High,High
Cabbage,Maharashtra,Vegetable,92,0,5,90,95,9,55,Medium,No,15,Medium,Cold Storage,Medium,Medium
Tomato,Uttar Pradesh,Vegetable,94,10,12,85,95,7,18,High,Yes,21,High,Cold Storage / Ventilated Crates,High,High
Carrot,Andhra Pradesh,Root,88,0,2,90,95,9,121,Medium,No,15,Medium,Cold Storage,Medium,Low
Cauliflower,Madhya Pradesh,Vegetable,92,0,2,90,95,7,23,Medium,No,19,Medium,Cold Storage,Medium,Medium
Grapes,Punjab,Fruit,81,0,1,90,95,8,62,Medium,No,15,Medium,Cold Storage,Medium,Medium
Tomato,Uttar Pradesh,Vegetable,94,10,12,85,95,5,10,High,Yes,23,High,Cold Storage / Ventilated Crates,High,High
Brinjal,Bihar,Vegetable,92,8,12,90,95,3,15,High,Yes,21,High,Cold Storage,High,High
Mango,Gujarat,Fruit,83,12,14,85,90,6,19,High,Yes,32,High,Cold Storage,High,High
Brinjal,Punjab,Vegetable,92,8,12,90,95,6,5,High,Yes,20,High,Cold Storage,High,High
Chili (Green),Maharashtra,Vegetable,88,7,10,85,90,3,22,High,Yes,27,High,Cold Storage,High,Medium
Carrot,Maharashtra,Root,88,0,2,90,95,12,115,Medium,No,12,Medium,Cold Storage,Medium,Low
Cabbage,Bihar,Vegetable,92,0,5,90,95,8,64,Medium,No,20,Medium,Cold Storage,Medium,Medium
Cabbage,Karnataka,Vegetable,92,0,5,90,95,9,58,Medium,No,17,Medium,Cold Storage,Medium,Medium
Chili (Green),Maharashtra,Vegetable,88,7,10,85,90,3,17,High,Yes,27,High,Cold Storage,High,Medium
Cauliflower,Andhra Pradesh,Vegetable,92,0,2,90,95,6,25,Medium,No,21,Medium,Cold Storage,Medium,Medium
Onion,Bihar,Bulb,89,0,5,65,75,60,145,Low,No,9,Low,Dry Ventilated Storage,Low,Low
Carrot,Madhya Pradesh,Root,88,0,2,90,95,9,119,Medium,No,14,Medium,Cold Storage,Medium,Low
Apple,Rajasthan,Fruit,84,0,4,90,95,32,177,Low,No,5,Low,Controlled Atmosphere Storage,Low,Medium
Potato,Uttar Pradesh,Tuber,79,4,10,90,95,31,86,Medium,No,10,Medium,Cool Dark Storage,Medium,Low
Carrot,Andhra Pradesh,Root,88,0,2,90,95,11,118,Medium,No,14,Medium,Cold Storage,Medium,Low
Brinjal,Bihar,Vegetable,92,8,12,90,95,6,6,High,Yes,21,High,Cold Storage,High,High
Chili (Green),Tamil Nadu,Vegetable,88,7,10,85,90,4,16,High,Yes,27,High,Cold Storage,High,Medium
Grapes,Andhra Pradesh,Fruit,81,0,1,90,95,8,63,Medium,No,12,Medium,Cold Storage,Medium,Medium
Banana,Bihar,Fruit,74,13,15,85,95,3,23,High,Yes,34,High,Cold Storage,Very High,High
Banana,Gujarat,Fruit,74,13,15,85,95,6,23,High,Yes,38,High,Cold Storage,Very High,High
Chili (Green),Punjab,Vegetable,88,7,10,85,90,7,26,High,Yes,28,High,Cold Storage,High,Medium
Mango,Bihar,Fruit,83,12,14,85,90,9,22,High,Yes,27,High,Cold Storage,High,High
Tomato,Punjab,Vegetable,94,10,12,85,95,7,14,High,Yes,21,High,Cold Storage / Ventilated Crates,High,High
Cabbage,Uttar Pradesh,Vegetable,92,0,5,90,95,7,59,Medium,No,20,Medium,Cold Storage,Medium,Medium
Mango,Maharashtra,Fruit,83,12,14,85,90,6,22,High,Yes,33,High,Cold Storage,High,High
Chili (Green),Karnataka,Vegetable,88,7,10,85,90,3,22,High,Yes,27,High,Cold Storage,High,Medium
Apple,Andhra Pradesh,Fruit,84,0,4,90,95,29,175,Low,No,5,Low,Controlled Atmosphere Storage,Low,Medium
Tomato,Rajasthan,Vegetable,94,10,12,85,95,5,15,High,Yes,22,High,Cold Storage / Ventilated Crates,High,High
Apple,Uttar Pradesh,Fruit,84,0,4,90,95,28,178,Low,No,10,Low,Controlled Atmosphere Storage,Low,Medium
Onion,Uttar Pradesh,Bulb,89,0,5,65,75,62,147,Low,No,7,Low,Dry Ventilated Storage,Low,Low
Potato,Gujarat,Tuber,79,4,10,90,95,28,89,Medium,No,12,Medium,Cool Dark Storage,Medium,Low
Tomato,Rajasthan,Vegetable,94,10,12,85,95,5,17,High,Yes,22,High,Cold Storage / Ventilated Crates,High,High
Carrot,Uttar Pradesh,Root,88,0,2,90,95,8,125,Medium,No,12,Medium,Cold Storage,Medium,Low
Cabbage,Andhra Pradesh,Vegetable,92,0,5,90,95,8,59,Medium,No,21,Medium,Cold Storage,Medium,Medium
Potato,Bihar,Tuber,79,4,10,90,95,32,88,Medium,No,15,Medium,Cool Dark Storage,Medium,Low
Mango,Bihar,Fruit,83,12,14,85,90,6,18,High,Yes,31,High,Cold Storage,High,High
Onion,Punjab,Bulb,89,0,5,65,75,58,153,Low,No,9,Low,Dry Ventilated Storage,Low,Low
Carrot,Uttar Pradesh,Root,88,0,2,90,95,9,119,Medium,No,16,Medium,Cold Storage,Medium,Low
Cabbage,Maharashtra,Vegetable,92,0,5,90,95,7,61,Medium,No,20,Medium,Cold Storage,Medium,Medium
Banana,Bihar,Fruit,74,13,15,85,95,3,22,High,Yes,33,High,Cold Storage,Very High,High
Grapes,Gujarat,Fruit,81,0,1,90,95,6,60,Medium,No,14,Medium,Cold Storage,Medium,Medium
Grapes,Andhra Pradesh,Fruit,81,0,1,90,95,9,56,Medium,No,15,Medium,Cold Storage,Medium,Medium
Chili (Green),Punjab,Vegetable,88,7,10,85,90,7,17,High,Yes,27,High,Cold Storage,High,Medium
Mango,Punjab,Fruit,83,12,14,85,90,7,22,High,Yes,32,High,Cold Storage,High,High
Onion,Andhra Pradesh,Bulb,89,0,5,65,75,58,149,Low,No,8,Low,Dry Ventilated Storage,Low,Low
Tomato,Uttar Pradesh,Vegetable,94,10,12,85,95,3,15,High,Yes,21,High,Cold Storage / Ventilated Crates,High,High
Banana,Bihar,Fruit,74,13,15,85,95,7,28,High,Yes,32,High,Cold Storage,Very High,High
Cabbage,Andhra Pradesh,Vegetable,92,0,5,90,95,9,55,Medium,No,18,Medium,Cold Storage,Medium,Medium
Tomato,Madhya Pradesh,Vegetable,94,10,12,85,95,3,16,High,Yes,18,High,Cold Storage / Ventilated Crates,High,High
Mango,Tamil Nadu,Fruit,83,12,14,85,90,9,18,High,Yes,30,High,Cold Storage,High,High
Potato,Rajasthan,Tuber,79,4,10,90,95,30,94,Medium,No,11,Medium,Cool Dark Storage,Medium,Low
Apple,Madhya Pradesh,Fruit,84,0,4,90,95,30,175,Low,No,9,Low,Controlled Atmosphere Storage,Low,Medium
Cauliflower,Tamil Nadu,Vegetable,92,0,2,90,95,3,22,Medium,No,19,Medium,Cold Storage,Medium,Medium
Apple,Gujarat,Fruit,84,0,4,90,95,31,176,Low,No,8,Low,Controlled Atmosphere Storage,Low,Medium
Grapes,Uttar Pradesh,Fruit,81,0,1,90,95,5,55,Medium,No,15,Medium,Cold Storage,Medium,Medium
Cabbage,Punjab,Vegetable,92,0,5,90,95,9,62,Medium,No,16,Medium,Cold Storage,Medium,Medium
Carrot,Bihar,Root,88,0,2,90,95,10,119,Medium,No,18,Medium,Cold Storage,Medium,Low
Mango,Karnataka,Fruit,83,12,14,85,90,9,26,High,Yes,27,High,Cold Storage,High,High
Apple,Bihar,Fruit,84,0,4,90,95,29,181,Low,No,6,Low,Controlled Atmosphere Storage,Low,Medium
Chili (Green),Rajasthan,Vegetable,88,7,10,85,90,5,17,High,Yes,26,High,Cold Storage,High,Medium
Grapes,Bihar,Fruit,81,0,1,90,95,6,63,Medium,No,18,Medium,Cold Storage,Medium,Medium
Mango,Tamil Nadu,Fruit,83,12,14,85,90,6,17,High,Yes,29,High,Cold Storage,High,High
Potato,Madhya Pradesh,Tuber,79,4,10,90,95,30,94,Medium,No,14,Medium,Cool Dark Storage,Medium,Low
Mango,Uttar Pradesh,Fruit,83,12,14,85,90,5,23,High,Yes,31,High,Cold Storage,High,High
Chili (Green),Bihar,Vegetable,88,7,10,85,90,3,21,High,Yes,25,High,Cold Storage,High,Medium
Onion,Maharashtra,Bulb,89,0,5,65,75,58,154,Low,No,7,Low,Dry Ventilated Storage,Low,Low
Brinjal,Bihar,Vegetable,92,8,12,90,95,6,12,High,Yes,21,High,Cold Storage,High,High
Tomato,Maharashtra,Vegetable,94,10,12,85,95,7,15,High,Yes,23,High,Cold Storage / Ventilated Crates,High,High
Apple,Madhya Pradesh,Fruit,84,0,4,90,95,32,182,Low,No,6,Low,Controlled Atmosphere Storage,Low,Medium
Potato,Maharashtra,Tuber,79,4,10,90,95,28,86,Medium,No,14,Medium,Cool Dark Storage,Medium,Low
Cabbage,Gujarat,Vegetable,92,0,5,90,95,6,58,Medium,No,21,Medium,Cold Storage,Medium,Medium
Banana,Gujarat,Fruit,74,13,15,85,95,6,28,High,Yes,37,High,Cold Storage,Very High,High
Onion,Karnataka,Bulb,89,0,5,65,75,58,146,Low,No,13,Low,Dry Ventilated Storage,Low,Low
Grapes,Gujarat,Fruit,81,0,1,90,95,8,61,Medium,No,15,Medium,Cold Storage,Medium,Medium
Cauliflower,Uttar Pradesh,Vegetable,92,0,2,90,95,4,21,Medium,No,17,Medium,Cold Storage,Medium,Medium
Brinjal,Madhya Pradesh,Vegetable,92,8,12,90,95,2,12,High,Yes,22,High,Cold Storage,High,High
Cabbage,Punjab,Vegetable,92,0,5,90,95,8,58,Medium,No,18,Medium,Cold Storage,Medium,Medium
Banana,Andhra Pradesh,Fruit,74,13,15,85,95,6,27,High,Yes,36,High,Cold Storage,Very High,High
Carrot,Gujarat,Root,88,0,2,90,95,12,122,Medium,No,12,Medium,Cold Storage,Medium,Low
Cauliflower,Karnataka,Vegetable,92,0,2,90,95,3,17,Medium,No,22,Medium,Cold Storage,Medium,Medium
Apple,Karnataka,Fruit,84,0,4,90,95,30,181,Low,No,10,Low,Controlled Atmosphere Storage,Low,Medium
Tomato,Tamil Nadu,Vegetable,94,10,12,85,95,4,13,High,Yes,18,High,Cold Storage / Ventilated Crates,High,High
Onion,Rajasthan,Bulb,89,0,5,65,75,58,153,Low,No,13,Low,Dry Ventilated Storage,Low,Low
Cauliflower,Bihar,Vegetable,92,0,2,90,95,6,20,Medium,No,22,Medium,Cold Storage,Medium,Medium
